category,name,imgUrl,kcal,carbo,protein,fat,sFat,tFat,sugar,choles,natrium,ingredi
볼,바디닭 자색고구마 닭가슴살 볼,https://file.rankingdak.com/_data/item/8a4b5191b076d4da928a9ac56325858f.jpg,172,13,17,5,2.3,0,5,55,250,"닭가슴살(국산)77.19%, 자색고구마칩[자색고구마100%(국산)]4.29%, 자색고구마엑기스[샘넷엑기스100 {매일맛있는 진간장(탈지대두/외국산: 인도, 미국, 중국산)}, 적양배추추출물{적양배추(국산)}, 자색고구마분말 (자색고구마: 국산)7.22%, 자색고구마페이스트(자색고구마: 국산)5.09%]3.43%, 양파, 백설탕, 고소한빵가루배합용, 분리대두단백, 대두유, 마늘, 인산염"
볼,바디닭 단호박 닭가슴살 볼,https://file.rankingdak.com/_data/item/a4f2c8127a2cb454465271f4a8aef7cf.jpg,153,15,17,2.7,0,0,1,45,230,"닭가슴살(국산)76.14%, 단호박분말[단호박(뉴질랜드산)100%]8.47%, 정백당, 양파(국산), 고소한빵가루배합용, 단호박엑기스[단호박분말{단호박(뉴질랜드산)}]2.54%, 대두유, 마늘, 인산염, 정제염, 코리안더분말, L-글루타민산나트륨"
큐브,허닭 닭가슴살 큐브 더블머쉬룸,https://file.rankingdak.com/_data/item/6780469ddac74a4d72ea12db8456d353.jpg,160,8,18,6,,,,,260,"닭가슴살(국산) 74.35%, 느타리버섯(국산)11.15%, 디와이큐브시즈닝 [설탕, 믹시드스파이스 5K(겨자분말: 캐나다산), 코코넛크림분말(말레이시아산), 농축대두단백, 빵가루, 올리브유, 숯불갈비소스, 감자전분, 표고버섯 (국산) 0.74%, 양파, 당근, 대파, 마늘, 생강, 정제소금, 산도조절제, 염화칼륨
닭고기, 쇠고기, 밀,대두 함유"
큐브,허닭 한입 닭가슴살 큐브 떡갈비,https://file.rankingdak.com/_data/item/72aa53baaf4375cbfa032b56c1d5eb99.jpg,135,8,18,3.6,,,,,340,"닭고기 79.37% (가슴살/국내산), 양파(국내산), 떡갈비 양념장[기타과당, 설탕, 혼합간장(탈지대두:외국산), 양파(국산), 마늘], 옥수수전분, 대파, 농축대두단백, 식물성유지, 떡갈비용시즈닝, 마늘, 설탕, 그릴린GB, 육풍미시즈닝, 양파분말, 산도조절제, 콩단백발효물, 숯불갈비향
닭고기, 쇠고기, 대두, 밀, 우유 함유"
큐브,허닭 한입 닭가슴살 큐브 깻잎,https://file.rankingdak.com/_data/item/0473a34125f832230d9edfe26a853dc7.jpg,135,9,17,3.9,,,,,300,"닭고기 76.41% (가슴살/국내산), 양파(국내산), 단호박샐러드[단호박(중국산), 샐러드베이스{대두유(대두:외국산)}], 떡갈비용시즈닝-L, 깻잎 2.29% (국내산), 옥수수전분, 대파, 농축대두단백, 식물성유지, 진숯불갈비엑기스, 마늘, 설탕, 양파분말, 산도조절제, 콩단백발물
닭고기, 쇠고기, 대두, 밀 함유"
큐브,허닭 한입 닭가슴살 큐브 치즈,https://file.rankingdak.com/_data/item/0633dd5f822ff29e648d525b50df6d57.jpg,150,9,18,5,,,,,310,"닭고기 73,86% (가슴살/국내산), 하이멜트치즈-제이 5.81% [자연치즈 (외국산: 뉴질랜드, 미국, 아일랜드 등), 찰옥수수변성전분, 카제인나트륨, 산도조절제, 난백파우다(계란: 국산)], 양파(국내산), 단호박샐러드, 옥수수전분, 떡갈비용시즈닝-L, 대파, 농축대두단백, 식물성유지, 진숯불갈비엑기스, 마늘, 설탕, 양파분말, 산도조절제, 콩단백발효물, 치즈향 #45 (정제가공유지, 합성향료, 트리아세틴, 주정)
닭고기, 소고기, 대두, 밀, 우유, 계란 함유"
큐브,그로서리서울 그대로 촉촉한 닭가슴살 큐브 통곡물,https://file.rankingdak.com/_data/item/3d86b6d905d25f4586210be1eba0c73f.jpg,154,8,28,1.5,0,0,0,43,99,"닭고기(국내산) 66.68%, 삼곡곡물밥 [현미(국내산), 귀리 (호주산), 렌즈콩(호주산), 정제수] 15.28%, 정제수, 치킨용씨즈닝-H{씨즈닝베이스1호[양파분말(양파: 중국산)]}, 양파, 청양고추, 농축대두단백, 대파, 오렌지식이섬유, 함초분말, 육풍미씨즈닝, 셀러리분말
닭고기, 대두 함유"
큐브,그로서리서울 그대로 촉촉한 닭가슴살 큐브 청양고추,https://file.rankingdak.com/_data/item/3d86b6d905d25f4586210be1eba0c73f.jpg,142,3,30,1.3,0,0,0,48,111,"닭고기(국내산) 77.87%, 정제수, 치킨용씨즈닝-H{씨스닝베이스1호[양파분말 (양파: 중국산)]}, 청양고추(국내산) 3.21%, 양파(국내산), 농축대두단백, 분리대두단백, 대파, 함초분말, 육풍미씨즈닝, 셀러리분말
닭고기, 대두 함유"
볼,햇살닭 한입연근 닭가슴살,https://file.rankingdak.com/_data/item/b9eaf8a66b1c0ddff3b860ca62f34e75.jpg,119,7,17,3,0.9,0,3,57,447,"닭가슴살 (국내산) 68.9%,연근 (국내산)10%,양파(국내산), 탈지대두,건식빵가루, 함수포도당, 청양고추,유장분말,농축대두단백, HS솔루션시즈닝, 마늘, 새우엑기스-디, 미담다시마장 (다시마: 국내산), 폴리인산나트륨, 정제소금,흑후추분말,코트롤티에이치 (아세트산나트륨, 푸마르산,팜오일,쌀겨왁스)"
볼,포켓샐러드 치킨볼 오리지널,https://file.rankingdak.com/_data/item/8dd6c5bc1b93c7000b068105a58ed8a0.jpg,135,4,28,0.8,,,,76,273,"닭가슴살(국산)84%, 우유{국산(원유 100%)}6%, 양파(국산)3%, 물엿, 복합조미식품(마늘가루, 생강가루), 소주, 찹쌀가루, 대두유, 꽃소금, 후춧가루"
